employee,customer_and_account_no,product_name,sale_date,sale_amount,units_sold,invoice_no,invoice_frequency
Clancy Wiggum (clancy.wiggum@korning.com),Motorola (MT928534,Chimp Glass,11/13/12,"$795,219.34 ",956306,82547,Monthly
Ricky Bobby (ricky.bobby@korning.com),LG (LG858843),Baboon Glass,11/1/12,"$503,924.24 ",833176,38173,Monthly
Bob Lob (bob.lob@korning.com),LG (LG858843),Chimp Glass,5/23/12,"$486,241.47 ",423318,67080,Quarterly
Ricky Bobby (ricky.bobby@korning.com),HTC (HT925638),Chimp Glass,10/6/12,"$526,268.71 ",480814,73230,Monthly
Ricky Bobby (ricky.bobby@korning.com),Nokia (NK881241),Orangutan Glass,11/7/12,"$949,021.94 ",648195,57008,Quarterly
Willie Groundskeeper (willie.groundskeeper@korning.com),Samsung (SG373953),Baboon Glass,10/5/12,"$544,764.39 ",190010,31383,Quarterly
Clancy Wiggum (clancy.wiggum@korning.com),Samsung (SG373953),Chimp Glass,12/26/12,"$298,109.79 ",107745,41383,Monthly
Willie Groundskeeper (willie.groundskeeper@korning.com),HTC (HT925638),Orangutan Glass,7/20/12,"$176,444.64 ",262159,40754,Quarterly
Clancy Wiggum (clancy.wiggum@korning.com),LG (LG858843),Chimp Glass,2/2/12,"$211,714.85 ",727631,69031,Once
Bob Lob (bob.lob@korning.com),Motorola (MT928534,Orangutan Glass,12/16/12,"$244,053.15 ",994091,88475,Quarterly
Willie Groundskeeper (willie.groundskeeper@korning.com),Motorola (MT928534,Baboon Glass,6/1/12,"$624,797.97 ",648982,70774,Once
Willie Groundskeeper (willie.groundskeeper@korning.com),LG (LG858843),Baboon Glass,4/30/12,"$812,859.16 ",302392,17401,Monthly
Ricky Bobby (ricky.bobby@korning.com),Nokia (NK881241),Baboon Glass,9/4/12,"$165,376.89 ",576636,80205,Once
Willie Groundskeeper (willie.groundskeeper@korning.com),LG (LG858843),Chimp Glass,4/15/12,"$259,109.96 ",446630,16919,Once
Clancy Wiggum (clancy.wiggum@korning.com),HTC (HT925638),Baboon Glass,8/30/12,"$733,798.19 ",183107,43226,Once
Bob Lob (bob.lob@korning.com),Nokia (NK881241),Gorilla Glass,9/26/12,"$206,732.18 ",609153,82177,Once
Bob Lob (bob.lob@korning.com),Apple (AP512452),Orangutan Glass,3/24/12,"$185,593.17 ",402327,30005,Once
Clancy Wiggum (clancy.wiggum@korning.com),Motorola (MT928534,Gorilla Glass,2/15/12,"$602,124.03 ",949633,52018,Monthly
Bob Lob (bob.lob@korning.com),HTC (HT925638),Baboon Glass,2/13/12,"$245,828.50 ",408501,56704,Monthly
Ricky Bobby (ricky.bobby@korning.com),Nokia (NK881241),Gorilla Glass,3/7/12,"$881,538.06 ",908572,78137,Once
Willie Groundskeeper (willie.groundskeeper@korning.com),Samsung (SG373953),Chimp Glass,2/8/12,"$361,979.68 ",182701,29634,Quarterly
Clancy Wiggum (clancy.wiggum@korning.com),Motorola (MT928534,Gorilla Glass,2/23/12,"$719,363.58 ",489103,53705,Monthly
Clancy Wiggum (clancy.wiggum@korning.com),Motorola (MT928534,Gorilla Glass,4/6/12,"$817,373.48 ",499587,69665,Monthly
Bob Lob (bob.lob@korning.com),LG (LG858843),Gorilla Glass,6/23/12,"$434,746.46 ",322866,29517,Quarterly
Ricky Bobby (ricky.bobby@korning.com),Nokia (NK881241),Orangutan Glass,11/21/12,"$825,318.21 ",276838,49780,Once
Clancy Wiggum (clancy.wiggum@korning.com),HTC (HT925638),Baboon Glass,5/23/12,"$762,090.23 ",172838,38539,Monthly
Ricky Bobby (ricky.bobby@korning.com),Nokia (NK881241),Gorilla Glass,8/16/12,"$420,768.11 ",522103,24297,Monthly
Bob Lob (bob.lob@korning.com),Samsung (SG373953),Gorilla Glass,3/24/12,"$542,883.97 ",419770,35171,Monthly
Clancy Wiggum (clancy.wiggum@korning.com),LG (LG858843),Chimp Glass,5/18/12,"$532,953.07 ",863645,70781,Once
Ricky Bobby (ricky.bobby@korning.com),Motorola (MT928534,Orangutan Glass,3/24/12,"$985,530.29 ",250133,17387,Quarterly
Ricky Bobby (ricky.bobby@korning.com),Nokia (NK881241),Baboon Glass,10/26/12,"$774,755.38 ",149559,65912,Once
Clancy Wiggum (clancy.wiggum@korning.com),Motorola (MT928534,Chimp Glass,7/21/12,"$301,711.88 ",660197,33178,Quarterly
Willie Groundskeeper (willie.groundskeeper@korning.com),HTC (HT925638),Gorilla Glass,6/17/12,"$677,932.88 ",936194,54394,Once
Clancy Wiggum (clancy.wiggum@korning.com),Nokia (NK881241),Baboon Glass,8/9/12,"$931,826.14 ",496044,79309,Once
Bob Lob (bob.lob@korning.com),Samsung (SG373953),Orangutan Glass,10/1/12,"$732,945.84 ",523808,51969,Monthly
Willie Groundskeeper (willie.groundskeeper@korning.com),LG (LG858843),Chimp Glass,4/25/12,"$245,150.61 ",552266,45336,Quarterly
Bob Lob (bob.lob@korning.com),Apple (AP512452),Baboon Glass,10/9/12,"$146,111.18 ",534452,18976,Monthly
Ricky Bobby (ricky.bobby@korning.com),LG (LG858843),Gorilla Glass,10/10/12,"$504,502.63 ",977348,24142,Monthly
Ricky Bobby (ricky.bobby@korning.com),HTC (HT925638),Chimp Glass,6/22/12,"$569,603.54 ",507945,23065,Once
Ricky Bobby (ricky.bobby@korning.com),LG (LG858843),Gorilla Glass,12/17/12,"$196,014.53 ",578450,33781,Once
Bob Lob (bob.lob@korning.com),Nokia (NK881241),Orangutan Glass,6/22/12,"$252,197.74 ",365564,60697,Once
Ricky Bobby (ricky.bobby@korning.com),Samsung (SG373953),Gorilla Glass,12/3/12,"$244,635.12 ",777284,86401,Quarterly
Clancy Wiggum (clancy.wiggum@korning.com),Apple (AP512452),Baboon Glass,5/5/12,"$304,164.52 ",288076,18812,Monthly
Willie Groundskeeper (willie.groundskeeper@korning.com),LG (LG858843),Chimp Glass,5/20/12,"$435,586.03 ",374604,37648,Monthly
Bob Lob (bob.lob@korning.com),LG (LG858843),Baboon Glass,9/20/12,"$964,755.42 ",430310,16801,Quarterly
Ricky Bobby (ricky.bobby@korning.com),Samsung (SG373953),Chimp Glass,10/29/12,"$329,164.59 ",178051,54259,Monthly
Willie Groundskeeper (willie.groundskeeper@korning.com),Nokia (NK881241),Chimp Glass,8/24/12,"$791,591.78 ",443052,85817,Once
Ricky Bobby (ricky.bobby@korning.com),Nokia (NK881241),Chimp Glass,7/7/12,"$470,608.98 ",622706,85491,Once
Bob Lob (bob.lob@korning.com),Samsung (SG373953),Chimp Glass,7/30/12,"$340,602.40 ",977881,50476,Once
Ricky Bobby (ricky.bobby@korning.com),HTC (HT925638),Gorilla Glass,5/3/12,"$219,445.18 ",761892,46187,Monthly
Ricky Bobby (ricky.bobby@korning.com),Nokia (NK881241),Baboon Glass,3/20/12,"$347,228.31 ",386171,75387,Monthly
Clancy Wiggum (clancy.wiggum@korning.com),Apple (AP512452),Baboon Glass,2/17/12,"$312,994.39 ",174963,60265,Once
Clancy Wiggum (clancy.wiggum@korning.com),Motorola (MT928534,Chimp Glass,9/9/12,"$966,255.50 ",661545,39972,Quarterly
Willie Groundskeeper (willie.groundskeeper@korning.com),Samsung (SG373953),Gorilla Glass,5/24/12,"$675,019.83 ",775943,89787,Once
Ricky Bobby (ricky.bobby@korning.com),Motorola (MT928534,Baboon Glass,2/11/12,"$774,342.09 ",403433,32594,Once
Bob Lob (bob.lob@korning.com),LG (LG858843),Baboon Glass,3/21/12,"$912,680.73 ",546296,88719,Once
Clancy Wiggum (clancy.wiggum@korning.com),Samsung (SG373953),Orangutan Glass,5/22/12,"$743,679.15 ",636760,15242,Once
Bob Lob (bob.lob@korning.com),LG (LG858843),Chimp Glass,5/30/12,"$943,653.92 ",334617,47486,Once
Willie Groundskeeper (willie.groundskeeper@korning.com),Nokia (NK881241),Gorilla Glass,4/9/12,"$528,646.78 ",546659,75160,Monthly
Willie Groundskeeper (willie.groundskeeper@korning.com),HTC (HT925638),Baboon Glass,6/21/12,"$566,675.67 ",964302,68211,Once
Willie Groundskeeper (willie.groundskeeper@korning.com),Nokia (NK881241),Chimp Glass,7/19/12,"$126,998.55 ",813737,43544,Quarterly
Ricky Bobby (ricky.bobby@korning.com),HTC (HT925638),Gorilla Glass,11/28/12,"$482,369.55 ",238034,69427,Quarterly
Ricky Bobby (ricky.bobby@korning.com),HTC (HT925638),Gorilla Glass,10/23/12,"$886,433.40 ",387587,24665,Monthly
Clancy Wiggum (clancy.wiggum@korning.com),Apple (AP512452),Baboon Glass,3/4/12,"$136,344.95 ",500125,45398,Quarterly
Bob Lob (bob.lob@korning.com),HTC (HT925638),Baboon Glass,8/24/12,"$868,923.31 ",187170,67086,Quarterly
Bob Lob (bob.lob@korning.com),Samsung (SG373953),Gorilla Glass,2/14/12,"$854,793.72 ",417025,41370,Once
Bob Lob (bob.lob@korning.com),LG (LG858843),Chimp Glass,4/20/12,"$331,620.60 ",120598,61520,Once
Clancy Wiggum (clancy.wiggum@korning.com),Samsung (SG373953),Gorilla Glass,7/3/12,"$703,723.30 ",196522,61049,Quarterly
Clancy Wiggum (clancy.wiggum@korning.com),HTC (HT925638),Chimp Glass,3/27/12,"$191,533.36 ",400050,32372,Quarterly
Ricky Bobby (ricky.bobby@korning.com),Nokia (NK881241),Baboon Glass,9/11/12,"$109,905.83 ",132692,48331,Quarterly
Ricky Bobby (ricky.bobby@korning.com),Nokia (NK881241),Gorilla Glass,11/24/12,"$627,746.24 ",514583,76858,Monthly
Clancy Wiggum (clancy.wiggum@korning.com),HTC (HT925638),Chimp Glass,8/12/12,"$249,417.50 ",378908,86703,Monthly
Ricky Bobby (ricky.bobby@korning.com),Samsung (SG373953),Orangutan Glass,10/11/12,"$337,425.21 ",848882,19137,Monthly
Willie Groundskeeper (willie.groundskeeper@korning.com),LG (LG858843),Chimp Glass,12/6/12,"$545,523.80 ",868859,63156,Monthly
Clancy Wiggum (clancy.wiggum@korning.com),HTC (HT925638),Orangutan Glass,10/4/12,"$627,352.10 ",409504,29504,Once
Willie Groundskeeper (willie.groundskeeper@korning.com),Nokia (NK881241),Chimp Glass,12/12/12,"$214,702.44 ",222855,27765,Monthly
